ID;Path;Slice Name;Alias(s);Label;Min;Max;Must Support?;Is Modifier?;Is Summary?;Type(s);Short;Definition;Comments;Requirements;Default Value;Meaning When Missing;Fixed Value;Pattern;Example;Minimum Value;Maximum Value;Maximum Length;Binding Strength;Binding Description;Binding Value Set;Code;Slicing Discriminator;Slicing Description;Slicing Ordered;Slicing Rules;Base Path;Base Min;Base Max;Condition(s);Constraint(s);Mapping: Workflow Pattern;Mapping: FiveWs Pattern Mapping;Mapping: RIM Mapping;Mapping: Object Implementation Information
TestScript;TestScript;;;;0;*;;;;;Describes a set of tests;A structured set of tests against a FHIR server or client implementation to determine compliance against the FHIR specification.;;;;;;;;;;;;;;;;;;;TestScript;0;*;;"cnl-0:Name should be usable as an identifier for the module by machine processing applications such as code generation {name.exists() implies name.matches('^[A-Z]([A-Za-z0-9_]){1,254}$')}
";Definition;conformance.behavior,conformance.misc;n/a;
TestScript.id;TestScript.id;;;;0;1;;;Y;"id
";Logical id of this artifact;The logical id of the resource, as used in the URL for the resource. Once assigned, this value never changes.;Within the context of the FHIR RESTful interactions, the resource has an id except for cases like the create and conditional update. Otherwise, the use of the resouce id depends on the given use case.;;;;;;;;;;;;;;;;;;Resource.id;0;1;;;;;;
TestScript.meta;TestScript.meta;;;;0;1;;;Y;"Meta
";Metadata about the resource;The metadata about the resource. This is content that is maintained by the infrastructure. Changes to the content might not always be associated with version changes to the resource.;;;;;;;;;;;;;;;;;;;Resource.meta;0;1;;"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
";;;;
TestScript.implicitRules;TestScript.implicitRules;;;;0;1;;Y;Y;"uri
";A set of rules under which this content was created;A reference to a set of rules that were followed when the resource was constructed, and which must be understood when processing the content. Often, this is a reference to an implementation guide that defines the special rules along with other profiles etc.;Asserting this rule set restricts the content to be only understood by a limited set of trading partners. This inherently limits the usefulness of the data in the long term. However, the existing health eco-system is highly fractured, and not yet ready to define, collect, and exchange data in a generally computable sense. Wherever possible, implementers and/or specification writers should avoid using this element. Often, when used, the URL is a reference to an implementation guide that defines these special rules as part of its narrative along with other profiles, value sets, etc.;;;;;;;;;;;;;;;;;;Resource.implicitRules;0;1;;"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
";;;;
TestScript.language;TestScript.language;;;;0;1;;;;"code
";Language of the resource content;The base language in which the resource is written.;Language is provided to support indexing and accessibility (typically, services such as text to speech use the language tag). The html language tag in the narrative applies  to the narrative. The language tag on the resource may be used to specify the language of other presentations generated from the data in the resource. Not all the content has to be in the base language. The Resource.language should not be assumed to apply to the narrative automatically. If a language is specified, it should it also be specified on the div element in the html (see rules in HTML5 for information about the relationship between xml:lang and the html lang attribute).;;;;;;;;;;required;IETF language tag for a human language;http://hl7.org/fhir/ValueSet/all-languages|6.0.0-ballot2;;;;;;Resource.language;0;1;;"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
";;;;
TestScript.text;TestScript.text;;"narrative
htmlxhtmldisplay";;0;1;;;;"Narrative
";Text summary of the resource, for human interpretation;"A human-readable narrative that contains a summary of the resource and can be used to represent the content of the resource to a human. The narrative need not encode all the structured data, but is required to contain sufficient detail to make it ""clinically safe"" for a human to just read the narrative. Resource definitions may define what content should be represented in the narrative to ensure clinical safety.";"Contained resources do not have a narrative. Resources that are not contained SHOULD have a narrative. In some cases, a resource may only have text with little or no additional discrete data (as long as all minOccurs=1 elements are satisfied).  This may be necessary for data from legacy systems where information is captured as a ""text blob"" or where text is additionally entered raw or narrated and encoded information is added later.";;;;;;;;;;;;;;;;;;DomainResource.text;0;1;"dom-6
";"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
";;;Act.text?;
TestScript.contained;TestScript.contained;;"inline resources
anonymous resourcescontained resources";;0;*;;;;"Resource
";Contained, inline Resources;These resources do not have an independent existence apart from the resource that contains them - they cannot be identified independently, nor can they have their own independent transaction scope. This is allowed to be a Parameters resource if and only if it is referenced by a resource that provides context/meaning.;This should never be done when the content can be identified properly, as once identification is lost, it is extremely difficult (and context dependent) to restore it again. Contained resources may have profiles and tags in their meta elements, but SHALL NOT have security labels. Contained resources may be a resource type defined in the FHIR specification, or an [additional resource](resource.html#additional).;;;;;;;;;;;;;;;;;;DomainResource.contained;0;*;"dom-2
dom-4dom-3dom-5";;;;N/A;
TestScript.extension;TestScript.extension;;"extensions
user content";;0;*;;;;"Extension
";Additional content defined by implementations;May be used to represent additional information that is not part of the basic definition of the resource. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.;There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.;;;;;;;;;;;;;;;;;;DomainResource.extension;0;*;;"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
";;;N/A;
TestScript.modifierExtension;TestScript.modifierExtension;;"extensions
user content";;0;*;;Y;Y;"Extension
";Extensions that cannot be ignored;"May be used to represent additional information that is not part of the basic definition of the resource and that modifies the understanding of the element that contains it and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer is allowed to define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).";There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.;Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](extensibility.html#modifierExtension).;;;;;;;;;;;;;;;;;DomainResource.modifierExtension;0;*;;"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
";;;N/A;
TestScript.url;TestScript.url;;"url
authoritative-urldestinationidentity";;0;1;;;Y;"uri
";Canonical identifier for this test script, represented as a URI (globally unique);"An absolute URI that is used to identify this test script when it is referenced in a specification, model, design or an instance; also called its canonical identifier. This SHOULD be globally unique and SHOULD be a literal address at which an authoritative instance of this test script is (or will be) published. This URL can be the target of a canonical reference. It SHALL remain the same when the test script is stored on different servers.";"Can be a urn:uuid: or a urn:oid: but real http: addresses are preferred.  Multiple instances may share the same URL if they have a distinct version.

The determination of when to create a new version of a resource (same url, new version) vs. defining a new artifact is up to the author.  Considerations for making this decision are found in [Technical and Business Versions](resource.html#versions). 

In some cases, the resource can no longer be found at the stated url, but the url itself cannot change. Implementations can use the [meta.source](resource.html#meta) element to indicate where the current master source of the resource can be found.";Allows the test script to be referenced by a single globally unique identifier.;;;;;;;;;;;;;;;;;TestScript.url;0;1;;"cnl-1:URL should not contain | or # - these characters make processing canonical references problematic {exists() implies matches('^[^|# ]+$')}
ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}";Definition.url;FiveWs.identifier;;
TestScript.identifier;TestScript.identifier;;;;0;*;;;Y;"Identifier
";Additional identifier for the test script;A formal identifier that is used to identify this test script when it is represented in other formats, or referenced in a specification, model, design or an instance.;;Allows externally provided and/or usable business identifiers to be easily associated with the module.;;;;;;;;;;;;;;;;;TestScript.identifier;0;*;;"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
";Definition.identifier;FiveWs.identifier;;no-gen-base
TestScript.version;TestScript.version;;;;0;1;;;Y;"string
";Business version of the test script;The identifier that is used to identify this version of the test script when it is referenced in a specification, model, design or instance. This is an arbitrary value managed by the test script author and is not expected to be globally unique. For example, it might be a timestamp (e.g. yyyymmdd) if a managed version is not available. There is also no expectation that versions can be placed in a lexicographical sequence.;There may be different test script instances that have the same identifier but different versions.  The version can be appended to the url in a reference to allow a reference to a particular business version of the test script with the format [url]|[version]. The version SHOULD NOT contain a '#' - see [Business Version](resource.html#bv-format).;;;;;;;;;;;;;;;;;;TestScript.version;0;1;;"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
";Definition.version;FiveWs.version;;
TestScript.versionAlgorithm[x];TestScript.versionAlgorithm[x];;;;0;1;;;Y;"string
Coding";How to compare versions;Indicates the mechanism used to compare versions to determine which is more current.;If set as a string, this is a FHIRPath expression that has two additional context variables passed in - %version1 and %version2 and will return a negative number if version1 is newer, a positive number if version2 and a 0 if the version ordering can't be successfully be determined.;;;;;;;;;;extensible;;http://hl7.org/fhir/ValueSet/version-algorithm;;;;;;TestScript.versionAlgorithm[x];0;1;;"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
";;;;
TestScript.name;TestScript.name;;;;1;1;;;Y;"string
";Name for this test script (computer friendly);A natural language name identifying the test script. This name should be usable as an identifier for the module by machine processing applications such as code generation.;The name is not expected to be globally unique. The name should be a simple alphanumeric type name to ensure that it is machine-processing friendly.;Support code generation.;;;;;;;;;;;;;;;;;TestScript.name;1;1;"cnl-0
";"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
";Definition.name;;;
TestScript.title;TestScript.title;;;;0;1;;;Y;"string
";Name for this test script (human friendly);A short, descriptive, user-friendly title for the test script.;This name does not need to be machine-processing friendly and may contain punctuation, white-space, etc.;;;;;;;;;;;;;;;;;;TestScript.title;0;1;;"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
";Definition.title;;;
TestScript.status;TestScript.status;;;;1;1;;Y;Y;"code
";draft | active | retired | unknown;The status of this test script. Enables tracking the life-cycle of the content.;"Allows filtering of test scripts that are appropriate for use versus not.

See guidance around (not) making local changes to elements [here](canonicalresource.html#localization).";;;;;;;;;;required;The lifecycle status of an artifact.;http://hl7.org/fhir/ValueSet/publication-status|6.0.0-ballot2;;;;;;TestScript.status;1;1;;"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
";Definition.status;FiveWs.status;;
TestScript.experimental;TestScript.experimental;;;;0;1;;;Y;"boolean
";For testing only - never for real usage;A Boolean value to indicate that this test script is authored for testing purposes (or education/evaluation/marketing) and no version of this resource will ever be intended for genuine usage.;Allows filtering of test scripts that are appropriate for use versus not.. Experimental resources might include example instances in implementation guides, instances created solely for testing purposes, etc;Enables experimental content to be developed following the same lifecycle that would be used for a production-level test script.;;If absent, this resource is treated as though it is not experimental.;;;;;;;;;;;;;;;TestScript.experimental;0;1;;"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
";Definition.experimental;FiveWs.class;;
TestScript.date;TestScript.date;;"Revision Date
";;0;1;;;Y;"dateTime
";Date last changed;The date (and optionally time) when the test script was last significantly changed. The date must change when the business version changes and it must change if the status code changes. In addition, it should change when the substantive content of the test script changes.;"The date is often not tracked until the resource is published, but may be present on draft content. Note that this is not the same as the resource last-modified-date, since the resource may be a secondary representation of the test script. Additional specific dates may be added as extensions or be found by consulting Provenances associated with past versions of the resource.

See guidance around (not) making local changes to elements [here](canonicalresource.html#localization).";;;;;;;;;;;;;;;;;;TestScript.date;0;1;;"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
";Definition.date;FiveWs.recorded;;
TestScript.publisher;TestScript.publisher;;;;0;1;;;Y;"string
";Name of the publisher/steward (organization or individual);The name of the organization or individual responsible for the release and ongoing maintenance of the test script.;Usually an organization but may be an individual. The publisher (or steward) of the test script is the organization or individual primarily responsible for the maintenance and upkeep of the test script. This is not necessarily the same individual or organization that developed and initially authored the content. The publisher is the primary point of contact for questions or issues with the test script. This item SHOULD be populated unless the information is available from context.;"Helps establish the ""authority/credibility"" of the test script.  May also allow for contact.";;;;;;;;;;;;;;;;;TestScript.publisher;0;1;;"ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
";Definition.publisher;FiveWs.witness;;
